@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@1562 :- Hemiplegia(x), Ability(x)
@1583 :- Deaf(x), PhysicalAbility(x)
@1582 :- HearingDisability(x), TactileAbility(x)
@1581 :- Deaf(x), SensoryAbility(x)
@1580 :- HearingDisability(x), SightAbility(x)
@1579 :- HearingDisability(x), HearingAbility(x)
@1578 :- Deafened(x), PhysicalAbility(x)
@1577 :- Deafened(x), SensoryAbility(x)
@1576 :- Hard_of_hearing(x), PhysicalAbility(x)
@1575 :- Hard_of_hearing(x), SensoryAbility(x)
@1574 :- Deaf(x), SpeechAbility(x)
@1573 :- Deafened(x), SpeechAbility(x)
@1110 :- Epilepsy(x), BrailleWritingDevice(x)
@1594 :- VisualDisability(x), MovementAbility(x)
@1593 :- VisualDisability(x), TactileAbility(x)
@1592 :- VisualDisability(x), SightAbility(x)
@1591 :- VisualDisability(x), HearingAbility(x)
@1590 :- LowVision(x), PhysicalAbility(x)
@1107 :- Epilepsy(x), TelephoneAid(x)
@1106 :- IntellectualDisability(x), Manual_Wheelchair(x)
@1105 :- IntellectualDisability(x), Motorised_Wheelchair(x)
@1589 :- LowVision(x), SensoryAbility(x)
@1104 :- IntellectualDisability(x), SymbolBoard(x)
@1588 :- Blind(x), PhysicalAbility(x)
@1103 :- IntellectualDisability(x), FaceToFaceCommunicationSoftware(x)
@1587 :- Blind(x), SensoryAbility(x)
@1102 :- IntellectualDisability(x), BrailleWritingDevice(x)
@1586 :- LowVision(x), SpeechAbility(x)
@1101 :- IntellectualDisability(x), TactileReading(x)
@1585 :- Blind(x), SpeechAbility(x)
@1100 :- IntellectualDisability(x), TalkingReading(x)
@1584 :- HearingDisability(x), MovementAbility(x)
@1109 :- Epilepsy(x), TactileReading(x)
@1108 :- Epilepsy(x), TalkingReading(x)
@1121 :- Autism(x), TactileReading(x)
@1120 :- MentalDisability(x), BrailleWatch(x)
@1118 :- MentalDisability(x), BrailleAlarmClock(x)
@1117 :- Autism(x), TalkingReading(x)
@1116 :- MentalDisability(x), Talking_Thermometer(x)
@1115 :- Autism(x), TelephoneAid(x)
@1599 :- Spina_Bifida(x), SpeechAbility(x)
@1114 :- Epilepsy(x), Manual_Wheelchair(x)
@1598 :- Scoliosis(x), SpeechAbility(x)
@1113 :- Epilepsy(x), Motorised_Wheelchair(x)
@1597 :- Autism(x), SpeechAbility(x)
@1112 :- Epilepsy(x), SymbolBoard(x)
@1596 :- Epilepsy(x), SpeechAbility(x)
@1111 :- Epilepsy(x), FaceToFaceCommunicationSoftware(x)
@1595 :- IntellectualDisability(x), SpeechAbility(x)
@1119 :- MentalDisability(x), BraillePillOrganiser(x)
@1132 :- Scoliosis(x), TactileReading(x)
@1131 :- Scoliosis(x), TalkingReading(x)
@1130 :- Scoliosis(x), TelephoneAid(x)
@1129 :- Autism(x), Manual_Wheelchair(x)
@1128 :- MentalDisability(x), Foldable_Wheelchair(x)
@1127 :- MentalDisability(x), Lightweight_Wheelchair(x)
@1126 :- Autism(x), Motorised_Wheelchair(x)
@1125 :- MentalDisability(x), BatteryPowered_Wheelchair(x)
@1124 :- Autism(x), SymbolBoard(x)
@1123 :- Autism(x), FaceToFaceCommunicationSoftware(x)
@700 :- Osteogensis_Imperfecta(x), Device(x)
@1122 :- Autism(x), BrailleWritingDevice(x)
@701 :- Achondroplasia(x), Device(x)
@702 :- Poliomyelitis(x), Device(x)
@703 :- Amputation(x), Device(x)
@704 :- Paraplegia(x), Device(x)
@705 :- Guillaume_Barre(x), Device(x)
@706 :- Kyphosis(x), Device(x)
@707 :- Muscular_dystrophy(x), Device(x)
@708 :- PhysicalDisability(x), AssistiveDevice(x)
@709 :- Quadriplegia(x), Device(x)
@1143 :- Spina_Bifida(x), SymbolBoard(x)
@1142 :- Spina_Bifida(x), FaceToFaceCommunicationSoftware(x)
@1141 :- Spina_Bifida(x), BrailleWritingDevice(x)
@1140 :- Spina_Bifida(x), TactileReading(x)
@1139 :- Spina_Bifida(x), TalkingReading(x)
@1138 :- Spina_Bifida(x), TelephoneAid(x)
@1137 :- Scoliosis(x), Manual_Wheelchair(x)
@1136 :- Scoliosis(x), Motorised_Wheelchair(x)
@1135 :- Scoliosis(x), SymbolBoard(x)
@710 :- Cerebral_palsy(x), Device(x)
@1134 :- Scoliosis(x), FaceToFaceCommunicationSoftware(x)
@711 :- Multiple_sclerosis(x), Device(x)
@1133 :- Scoliosis(x), BrailleWritingDevice(x)
@712 :- Hemiplegia(x), Device(x)
@713 :- Dystonia(x), Device(x)
@714 :- Disability(x), Communication_Device(x)
@715 :- Disability(x), MobilityDevice(x)
@716 :- SpeechDisability(x), AssistiveDevice(x)
@717 :- Little_or_No_Speech(x), Device(x)
@718 :- Stuttering(x), Device(x)
@719 :- Hard_of_hearing(x), AssistiveDevice(x)
@1154 :- Achondroplasia(x), TelephoneAid(x)
@2001 :- Quadriplegia(x), LowerLimbMobility(x)
@1153 :- Osteogensis_Imperfecta(x), Manual_Wheelchair(x)
@2000 :- Muscular_dystrophy(x), UpperLimbMobility(x)
@1152 :- Osteogensis_Imperfecta(x), Motorised_Wheelchair(x)
@1151 :- Osteogensis_Imperfecta(x), SymbolBoard(x)
@1150 :- Osteogensis_Imperfecta(x), FaceToFaceCommunicationSoftware(x)
@1149 :- Osteogensis_Imperfecta(x), BrailleWritingDevice(x)
@1148 :- Osteogensis_Imperfecta(x), TactileReading(x)
@1147 :- Osteogensis_Imperfecta(x), TalkingReading(x)
@720 :- Deafened(x), AssistiveDevice(x)
@1146 :- Osteogensis_Imperfecta(x), TelephoneAid(x)
@721 :- HearingDisability(x), Communication_Device(x)
@1145 :- Spina_Bifida(x), Manual_Wheelchair(x)
@722 :- Deaf(x), AssistiveDevice(x)
@1144 :- Spina_Bifida(x), Motorised_Wheelchair(x)
@723 :- HearingDisability(x), MobilityDevice(x)
@724 :- Blind(x), AssistiveDevice(x)
@725 :- LowVision(x), AssistiveDevice(x)
@726 :- VisualDisability(x), Communication_Device(x)
@727 :- VisualDisability(x), MobilityDevice(x)
@728 :- IntellectualDisability(x), AssistiveDevice(x)
@729 :- Epilepsy(x), AssistiveDevice(x)
@1165 :- Poliomyelitis(x), BrailleWritingDevice(x)
@2012 :- Stuttering(x), LowerLimbMobility(x)
@1164 :- Poliomyelitis(x), TactileReading(x)
@2011 :- Little_or_No_Speech(x), LowerLimbMobility(x)
@1163 :- Poliomyelitis(x), TalkingReading(x)
@2010 :- Dystonia(x), UpperLimbMobility(x)
@1162 :- Poliomyelitis(x), TelephoneAid(x)
@1161 :- Achondroplasia(x), Manual_Wheelchair(x)
@1160 :- Achondroplasia(x), Motorised_Wheelchair(x)
@2009 :- Hemiplegia(x), UpperLimbMobility(x)
@2008 :- Multiple_sclerosis(x), UpperLimbMobility(x)
@2007 :- Dystonia(x), LowerLimbMobility(x)
@1159 :- Achondroplasia(x), SymbolBoard(x)
@2006 :- Hemiplegia(x), LowerLimbMobility(x)
@730 :- MentalDisability(x), Communication_Device(x)
@1158 :- Achondroplasia(x), FaceToFaceCommunicationSoftware(x)
@2005 :- Multiple_sclerosis(x), LowerLimbMobility(x)
@731 :- MentalDisability(x), MobilityDevice(x)
@1157 :- Achondroplasia(x), BrailleWritingDevice(x)
@2004 :- Cerebral_palsy(x), UpperLimbMobility(x)
@732 :- Autism(x), AssistiveDevice(x)
@1156 :- Achondroplasia(x), TactileReading(x)
@2003 :- Cerebral_palsy(x), LowerLimbMobility(x)
@733 :- Scoliosis(x), AssistiveDevice(x)
@1155 :- Achondroplasia(x), TalkingReading(x)
@2002 :- Quadriplegia(x), UpperLimbMobility(x)
@734 :- Spina_Bifida(x), AssistiveDevice(x)
@735 :- Osteogensis_Imperfecta(x), AssistiveDevice(x)
@736 :- Achondroplasia(x), AssistiveDevice(x)
@737 :- Poliomyelitis(x), AssistiveDevice(x)
@738 :- Amputation(x), AssistiveDevice(x)
@739 :- Paraplegia(x), AssistiveDevice(x)
@1176 :- Amputation(x), Motorised_Wheelchair(x)
@2023 :- Wheelchair(x), ListenDevice(x)
@1175 :- Amputation(x), SymbolBoard(x)
@2022 :- MobilityDevice(x), TelephoneAid(x)
@1174 :- Amputation(x), FaceToFaceCommunicationSoftware(x)
@2021 :- MobilityDevice(x), FaceToFaceCommunicationDevice(x)
@1173 :- Amputation(x), BrailleWritingDevice(x)
@2020 :- Wheelchair(x), Communication_Device(x)
@1172 :- Amputation(x), TactileReading(x)
@1171 :- Amputation(x), TalkingReading(x)
@1170 :- Amputation(x), TelephoneAid(x)
@2019 :- MobilityDevice(x), WritingDevice(x)
@2018 :- MobilityDevice(x), ReadingDevice(x)
@740 :- Guillaume_Barre(x), AssistiveDevice(x)
@2017 :- MobilityDevice(x), SpeechDevice(x)
@741 :- Kyphosis(x), AssistiveDevice(x)
@1169 :- Poliomyelitis(x), Manual_Wheelchair(x)
@2016 :- MobilityDevice(x), ListenDevice(x)
@742 :- Muscular_dystrophy(x), AssistiveDevice(x)
@1168 :- Poliomyelitis(x), Motorised_Wheelchair(x)
@2015 :- MobilityDevice(x), Communication_Device(x)
@743 :- PhysicalDisability(x), Communication_Device(x)
@1167 :- Poliomyelitis(x), SymbolBoard(x)
@2014 :- Stuttering(x), UpperLimbMobility(x)
@744 :- Quadriplegia(x), AssistiveDevice(x)
@1166 :- Poliomyelitis(x), FaceToFaceCommunicationSoftware(x)
@2013 :- Little_or_No_Speech(x), UpperLimbMobility(x)
@745 :- Cerebral_palsy(x), AssistiveDevice(x)
@746 :- Multiple_sclerosis(x), AssistiveDevice(x)
@747 :- PhysicalDisability(x), MobilityDevice(x)
@748 :- Hemiplegia(x), AssistiveDevice(x)
@749 :- Dystonia(x), AssistiveDevice(x)
@1187 :- Guillaume_Barre(x), TalkingReading(x)
@2034 :- MobilityDevice(x), SymbolBoard(x)
@1186 :- Guillaume_Barre(x), TelephoneAid(x)
@2033 :- MobilityDevice(x), FaceToFaceCommunicationSoftware(x)
@1185 :- Paraplegia(x), Manual_Wheelchair(x)
@2032 :- Wheelchair(x), FaceToFaceCommunicationDevice(x)
@1184 :- Paraplegia(x), Motorised_Wheelchair(x)
@2031 :- Manual_Wheelchair(x), Communication_Device(x)
@1183 :- Paraplegia(x), SymbolBoard(x)
@2030 :- Motorised_Wheelchair(x), Communication_Device(x)
@1182 :- Paraplegia(x), FaceToFaceCommunicationSoftware(x)
@1181 :- Paraplegia(x), BrailleWritingDevice(x)
@1180 :- Paraplegia(x), TactileReading(x)
@750 :- Disability(x), ListenDevice(x)
@2029 :- Wheelchair(x), WritingDevice(x)
@751 :- Disability(x), SpeechDevice(x)
@2028 :- MobilityDevice(x), BrailleWritingDevice(x)
@752 :- Disability(x), ReadingDevice(x)
@2027 :- Wheelchair(x), ReadingDevice(x)
@753 :- Disability(x), WritingDevice(x)
@1179 :- Paraplegia(x), TalkingReading(x)
@2026 :- MobilityDevice(x), TactileReading(x)
@754 :- Disability(x), FaceToFaceCommunicationDevice(x)
@1178 :- Paraplegia(x), TelephoneAid(x)
@2025 :- MobilityDevice(x), TalkingReading(x)
@755 :- SpeechDisability(x), Communication_Device(x)
@1177 :- Amputation(x), Manual_Wheelchair(x)
@2024 :- Wheelchair(x), SpeechDevice(x)
@756 :- Disability(x), Wheelchair(x)
@757 :- SpeechDisability(x), MobilityDevice(x)
@758 :- Little_or_No_Speech(x), AssistiveDevice(x)
@759 :- Stuttering(x), AssistiveDevice(x)
@1190 :- Guillaume_Barre(x), FaceToFaceCommunicationSoftware(x)
@1198 :- Kyphosis(x), FaceToFaceCommunicationSoftware(x)
@2045 :- MobilityDevice(x), BrailleWatch(x)
@1197 :- Kyphosis(x), BrailleWritingDevice(x)
@2044 :- Wheelchair(x), TactileReading(x)
@1196 :- Kyphosis(x), TactileReading(x)
@2043 :- MobilityDevice(x), BraillePillOrganiser(x)
@1195 :- Kyphosis(x), TalkingReading(x)
@2042 :- MobilityDevice(x), BrailleAlarmClock(x)
@1194 :- Kyphosis(x), TelephoneAid(x)
@2041 :- Wheelchair(x), TalkingReading(x)
@1193 :- Guillaume_Barre(x), Manual_Wheelchair(x)
@2040 :- MobilityDevice(x), Talking_Thermometer(x)
@1192 :- Guillaume_Barre(x), Motorised_Wheelchair(x)
@1191 :- Guillaume_Barre(x), SymbolBoard(x)
@760 :- Hard_of_hearing(x), Communication_Device(x)
@761 :- Hard_of_hearing(x), MobilityDevice(x)
@762 :- Deafened(x), Communication_Device(x)
@2039 :- Manual_Wheelchair(x), SpeechDevice(x)
@763 :- Deafened(x), MobilityDevice(x)
@2038 :- Motorised_Wheelchair(x), SpeechDevice(x)
@764 :- HearingDisability(x), ListenDevice(x)
@2037 :- Manual_Wheelchair(x), ListenDevice(x)
@765 :- HearingDisability(x), SpeechDevice(x)
@1189 :- Guillaume_Barre(x), BrailleWritingDevice(x)
@2036 :- Motorised_Wheelchair(x), ListenDevice(x)
@766 :- HearingDisability(x), ReadingDevice(x)
@1188 :- Guillaume_Barre(x), TactileReading(x)
@2035 :- Wheelchair(x), TelephoneAid(x)
@767 :- HearingDisability(x), WritingDevice(x)
@768 :- Deaf(x), Communication_Device(x)
@769 :- HearingDisability(x), FaceToFaceCommunicationDevice(x)
@2056 :- Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@2055 :- Manual_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@2054 :- Foldable_Wheelchair(x), Communication_Device(x)
@2053 :- Lightweight_Wheelchair(x), Communication_Device(x)
@2052 :- Motorised_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@2051 :- BatteryPowered_Wheelchair(x), Communication_Device(x)
@2050 :- Manual_Wheelchair(x), WritingDevice(x)
@770 :- Deaf(x), MobilityDevice(x)
@771 :- HearingDisability(x), Wheelchair(x)
@772 :- Blind(x), Communication_Device(x)
@773 :- Blind(x), MobilityDevice(x)
@774 :- LowVision(x), Communication_Device(x)
@2049 :- Motorised_Wheelchair(x), WritingDevice(x)
@775 :- LowVision(x), MobilityDevice(x)
@2048 :- Wheelchair(x), BrailleWritingDevice(x)
@776 :- VisualDisability(x), ListenDevice(x)
@2047 :- Manual_Wheelchair(x), ReadingDevice(x)
@777 :- VisualDisability(x), SpeechDevice(x)
@1199 :- Kyphosis(x), SymbolBoard(x)
@2046 :- Motorised_Wheelchair(x), ReadingDevice(x)
@778 :- VisualDisability(x), ReadingDevice(x)
@779 :- VisualDisability(x), WritingDevice(x)
@2067 :- Motorised_Wheelchair(x), TalkingReading(x)
@2066 :- Wheelchair(x), Talking_Thermometer(x)
@2065 :- Foldable_Wheelchair(x), SpeechDevice(x)
@2064 :- Lightweight_Wheelchair(x), SpeechDevice(x)
@2063 :- BatteryPowered_Wheelchair(x), SpeechDevice(x)
@2062 :- Foldable_Wheelchair(x), ListenDevice(x)
@2061 :- Lightweight_Wheelchair(x), ListenDevice(x)
@780 :- VisualDisability(x), FaceToFaceCommunicationDevice(x)
@2060 :- BatteryPowered_Wheelchair(x), ListenDevice(x)
@781 :- VisualDisability(x), Wheelchair(x)
@782 :- IntellectualDisability(x), Communication_Device(x)
@783 :- IntellectualDisability(x), MobilityDevice(x)
@300 :- AssistiveDevice(x), See_partially(x)
@784 :- Epilepsy(x), Communication_Device(x)
@301 :- MobilityDevice(x), SightAbility(x)
@785 :- Epilepsy(x), MobilityDevice(x)
@302 :- Wheelchair(x), SensoryAbility(x)
@786 :- MentalDisability(x), ListenDevice(x)
@2059 :- Manual_Wheelchair(x), TelephoneAid(x)
@303 :- MobilityDevice(x), TactileAbility(x)
@787 :- MentalDisability(x), SpeechDevice(x)
@2058 :- Motorised_Wheelchair(x), TelephoneAid(x)
@304 :- AssistiveDevice(x), Reach(x)
@788 :- MentalDisability(x), ReadingDevice(x)
@2057 :- Wheelchair(x), SymbolBoard(x)
@305 :- AssistiveDevice(x), LimbMobility(x)
@789 :- MentalDisability(x), WritingDevice(x)
@306 :- MobilityDevice(x), MovementAbility(x)
@307 :- Wheelchair(x), PhysicalAbility(x)
@308 :- Motorised_Wheelchair(x), Ability(x)
@309 :- Manual_Wheelchair(x), Ability(x)
@2070 :- Wheelchair(x), BraillePillOrganiser(x)
@2078 :- Manual_Wheelchair(x), BrailleWritingDevice(x)
@2077 :- Motorised_Wheelchair(x), BrailleWritingDevice(x)
@2076 :- Foldable_Wheelchair(x), ReadingDevice(x)
@2075 :- Lightweight_Wheelchair(x), ReadingDevice(x)
@2074 :- BatteryPowered_Wheelchair(x), ReadingDevice(x)
@2073 :- Wheelchair(x), BrailleWatch(x)
@790 :- MentalDisability(x), FaceToFaceCommunicationDevice(x)
@2072 :- Manual_Wheelchair(x), TactileReading(x)
@791 :- Autism(x), Communication_Device(x)
@2071 :- Motorised_Wheelchair(x), TactileReading(x)
@792 :- MentalDisability(x), Wheelchair(x)
@793 :- Autism(x), MobilityDevice(x)
@310 :- Device(x), LowerLimbMobility(x)
@794 :- Scoliosis(x), Communication_Device(x)
@311 :- Device(x), UpperLimbMobility(x)
@795 :- Scoliosis(x), MobilityDevice(x)
@312 :- TelephoneAid(x), SpeechAbility(x)
@796 :- Spina_Bifida(x), Communication_Device(x)
@313 :- TalkingReading(x), SpeechAbility(x)
@797 :- Spina_Bifida(x), MobilityDevice(x)
@314 :- TactileReading(x), SpeechAbility(x)
@798 :- Osteogensis_Imperfecta(x), Communication_Device(x)
@2069 :- Wheelchair(x), BrailleAlarmClock(x)
@315 :- BrailleWritingDevice(x), SpeechAbility(x)
@799 :- Osteogensis_Imperfecta(x), MobilityDevice(x)
@2068 :- Manual_Wheelchair(x), TalkingReading(x)
@316 :- FaceToFaceCommunicationSoftware(x), SpeechAbility(x)
@317 :- SymbolBoard(x), SpeechAbility(x)
@318 :- Motorised_Wheelchair(x), SpeechAbility(x)
@319 :- Manual_Wheelchair(x), SpeechAbility(x)
@2081 :- Foldable_Wheelchair(x), WritingDevice(x)
@2080 :- Lightweight_Wheelchair(x), WritingDevice(x)
@2089 :- Manual_Wheelchair(x), SymbolBoard(x)
@2088 :- Manual_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@2087 :- Foldable_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@2086 :- Lightweight_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@2085 :- LightweightFoldable_Wheelchair(x), Communication_Device(x)
@2084 :- Motorised_Wheelchair(x), SymbolBoard(x)
@2083 :- Motorised_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@2082 :- BatteryPowered_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@320 :- TelephoneAid(x), SensoryAbility(x)
@321 :- TelephoneAid(x), PhysicalAbility(x)
@322 :- ListenDevice(x), HearingAbility(x)
@323 :- ListenDevice(x), SightAbility(x)
@324 :- ListenDevice(x), TactileAbility(x)
@325 :- ListenDevice(x), MovementAbility(x)
@326 :- SpeechDevice(x), HearingAbility(x)
@2079 :- BatteryPowered_Wheelchair(x), WritingDevice(x)
@327 :- SpeechDevice(x), SightAbility(x)
@328 :- SpeechDevice(x), TactileAbility(x)
@329 :- SpeechDevice(x), MovementAbility(x)
@2092 :- Foldable_Wheelchair(x), TelephoneAid(x)
@2091 :- Lightweight_Wheelchair(x), TelephoneAid(x)
@2090 :- BatteryPowered_Wheelchair(x), TelephoneAid(x)
@2099 :- Foldable_Wheelchair(x), TalkingReading(x)
@2098 :- Lightweight_Wheelchair(x), TalkingReading(x)
@2097 :- BatteryPowered_Wheelchair(x), TalkingReading(x)
@2096 :- Manual_Wheelchair(x), Talking_Thermometer(x)
@2095 :- Motorised_Wheelchair(x), Talking_Thermometer(x)
@2094 :- LightweightFoldable_Wheelchair(x), SpeechDevice(x)
@2093 :- LightweightFoldable_Wheelchair(x), ListenDevice(x)
@330 :- Talking_Thermometer(x), Ability(x)
@331 :- TalkingReading(x), SensoryAbility(x)
@332 :- TalkingReading(x), PhysicalAbility(x)
@333 :- BrailleAlarmClock(x), Ability(x)
@334 :- BraillePillOrganiser(x), Ability(x)
@335 :- TactileReading(x), SensoryAbility(x)
@336 :- TactileReading(x), PhysicalAbility(x)
@337 :- BrailleWatch(x), Ability(x)
@338 :- ReadingDevice(x), HearingAbility(x)
@339 :- ReadingDevice(x), SightAbility(x)
@340 :- ReadingDevice(x), TactileAbility(x)
@341 :- ReadingDevice(x), MovementAbility(x)
@342 :- BrailleWritingDevice(x), SensoryAbility(x)
@343 :- BrailleWritingDevice(x), PhysicalAbility(x)
@344 :- WritingDevice(x), HearingAbility(x)
@345 :- WritingDevice(x), SightAbility(x)
@346 :- WritingDevice(x), TactileAbility(x)
@347 :- WritingDevice(x), MovementAbility(x)
@348 :- Communication_Device(x), Hear(x)
@349 :- Communication_Device(x), Hear_partially(x)
@350 :- FaceToFaceCommunicationDevice(x), HearingAbility(x)
@351 :- Communication_Device(x), See(x)
@352 :- Communication_Device(x), See_partially(x)
@353 :- FaceToFaceCommunicationDevice(x), SightAbility(x)
@354 :- FaceToFaceCommunicationSoftware(x), SensoryAbility(x)
@355 :- SymbolBoard(x), SensoryAbility(x)
@356 :- FaceToFaceCommunicationDevice(x), TactileAbility(x)
@357 :- Communication_Device(x), Reach(x)
@358 :- Communication_Device(x), LimbMobility(x)
@359 :- FaceToFaceCommunicationDevice(x), MovementAbility(x)
@10 :- Paraplegia(x), MentalDisability(x)
@11 :- Guillaume_Barre(x), MentalDisability(x)
@12 :- Kyphosis(x), MentalDisability(x)
@13 :- Muscular_dystrophy(x), MentalDisability(x)
@14 :- PhysicalDisability(x), Epilepsy(x)
@15 :- Quadriplegia(x), MentalDisability(x)
@16 :- Cerebral_palsy(x), MentalDisability(x)
@17 :- Multiple_sclerosis(x), MentalDisability(x)
@18 :- Hemiplegia(x), MentalDisability(x)
@19 :- PhysicalDisability(x), Autism(x)
@360 :- FaceToFaceCommunicationSoftware(x), PhysicalAbility(x)
@361 :- SymbolBoard(x), PhysicalAbility(x)
@362 :- MobilityDevice(x), Hear(x)
@363 :- MobilityDevice(x), Hear_partially(x)
@364 :- Wheelchair(x), HearingAbility(x)
@365 :- MobilityDevice(x), See(x)
@366 :- MobilityDevice(x), See_partially(x)
@367 :- Wheelchair(x), SightAbility(x)
@368 :- Motorised_Wheelchair(x), SensoryAbility(x)
@369 :- Manual_Wheelchair(x), SensoryAbility(x)
@20 :- Dystonia(x), MentalDisability(x)
@21 :- Scoliosis(x), IntellectualDisability(x)
@22 :- Scoliosis(x), Epilepsy(x)
@23 :- Scoliosis(x), Autism(x)
@24 :- Spina_Bifida(x), IntellectualDisability(x)
@25 :- Spina_Bifida(x), Epilepsy(x)
@26 :- Spina_Bifida(x), Autism(x)
@27 :- Osteogensis_Imperfecta(x), IntellectualDisability(x)
@28 :- Osteogensis_Imperfecta(x), Epilepsy(x)
@29 :- Osteogensis_Imperfecta(x), Autism(x)
@370 :- Wheelchair(x), TactileAbility(x)
@371 :- MobilityDevice(x), Reach(x)
@372 :- AssistiveDevice(x), LowerLimbMobility(x)
@373 :- AssistiveDevice(x), UpperLimbMobility(x)
@374 :- MobilityDevice(x), LimbMobility(x)
@375 :- Wheelchair(x), MovementAbility(x)
@376 :- Motorised_Wheelchair(x), PhysicalAbility(x)
@377 :- Manual_Wheelchair(x), PhysicalAbility(x)
@378 :- BatteryPowered_Wheelchair(x), Ability(x)
@379 :- Lightweight_Wheelchair(x), Ability(x)
@30 :- Achondroplasia(x), IntellectualDisability(x)
@31 :- Poliomyelitis(x), IntellectualDisability(x)
@32 :- Amputation(x), IntellectualDisability(x)
@33 :- Paraplegia(x), IntellectualDisability(x)
@34 :- Guillaume_Barre(x), IntellectualDisability(x)
@35 :- Kyphosis(x), IntellectualDisability(x)
@36 :- Muscular_dystrophy(x), IntellectualDisability(x)
@37 :- Quadriplegia(x), IntellectualDisability(x)
@38 :- Cerebral_palsy(x), IntellectualDisability(x)
@39 :- Multiple_sclerosis(x), IntellectualDisability(x)
@380 :- Foldable_Wheelchair(x), Ability(x)
@381 :- Talking_Thermometer(x), SpeechAbility(x)
@382 :- BrailleAlarmClock(x), SpeechAbility(x)
@383 :- BraillePillOrganiser(x), SpeechAbility(x)
@384 :- BrailleWatch(x), SpeechAbility(x)
@385 :- BatteryPowered_Wheelchair(x), SpeechAbility(x)
@386 :- Lightweight_Wheelchair(x), SpeechAbility(x)
@387 :- Foldable_Wheelchair(x), SpeechAbility(x)
@388 :- TelephoneAid(x), HearingAbility(x)
@389 :- TelephoneAid(x), SightAbility(x)
@40 :- Hemiplegia(x), IntellectualDisability(x)
@41 :- Dystonia(x), IntellectualDisability(x)
@42 :- Achondroplasia(x), Epilepsy(x)
@43 :- Achondroplasia(x), Autism(x)
@44 :- Poliomyelitis(x), Epilepsy(x)
@45 :- Poliomyelitis(x), Autism(x)
@46 :- Amputation(x), Epilepsy(x)
@47 :- Amputation(x), Autism(x)
@48 :- Paraplegia(x), Epilepsy(x)
@49 :- Paraplegia(x), Autism(x)
@390 :- TelephoneAid(x), TactileAbility(x)
@391 :- TelephoneAid(x), MovementAbility(x)
@392 :- ListenDevice(x), Hear(x)
@393 :- ListenDevice(x), Hear_partially(x)
@394 :- ListenDevice(x), See(x)
@395 :- ListenDevice(x), See_partially(x)
@396 :- ListenDevice(x), Reach(x)
@397 :- ListenDevice(x), LimbMobility(x)
@398 :- SpeechDevice(x), Hear(x)
@399 :- SpeechDevice(x), Hear_partially(x)
@50 :- Guillaume_Barre(x), Epilepsy(x)
@51 :- Guillaume_Barre(x), Autism(x)
@52 :- Kyphosis(x), Epilepsy(x)
@53 :- Kyphosis(x), Autism(x)
@54 :- Muscular_dystrophy(x), Epilepsy(x)
@55 :- Muscular_dystrophy(x), Autism(x)
@56 :- Quadriplegia(x), Epilepsy(x)
@57 :- Cerebral_palsy(x), Epilepsy(x)
@58 :- Multiple_sclerosis(x), Epilepsy(x)
@59 :- Hemiplegia(x), Epilepsy(x)
@60 :- Dystonia(x), Epilepsy(x)
@61 :- Quadriplegia(x), Autism(x)
@62 :- Cerebral_palsy(x), Autism(x)
@63 :- Multiple_sclerosis(x), Autism(x)
@64 :- Hemiplegia(x), Autism(x)
@65 :- Dystonia(x), Autism(x)
@66 :- SensoryAbility(x), PhysicalAbility(x)
@67 :- HearingAbility(x), PhysicalAbility(x)
@68 :- SightAbility(x), PhysicalAbility(x)
@69 :- SensoryAbility(x), MovementAbility(x)
@70 :- TactileAbility(x), PhysicalAbility(x)
@71 :- Hear(x), PhysicalAbility(x)
@72 :- Hear_partially(x), PhysicalAbility(x)
@73 :- HearingAbility(x), MovementAbility(x)
@74 :- See(x), PhysicalAbility(x)
@75 :- See_partially(x), PhysicalAbility(x)
@76 :- SightAbility(x), MovementAbility(x)
@77 :- SensoryAbility(x), Reach(x)
@78 :- SensoryAbility(x), LimbMobility(x)
@79 :- TactileAbility(x), MovementAbility(x)
@1602 :- Poliomyelitis(x), SpeechAbility(x)
@1601 :- Achondroplasia(x), SpeechAbility(x)
@1600 :- Osteogensis_Imperfecta(x), SpeechAbility(x)
@80 :- Hear(x), MovementAbility(x)
@81 :- Hear_partially(x), MovementAbility(x)
@1609 :- Cerebral_palsy(x), SpeechAbility(x)
@82 :- HearingAbility(x), Reach(x)
@1608 :- Quadriplegia(x), SpeechAbility(x)
@83 :- HearingAbility(x), LimbMobility(x)
@1607 :- Muscular_dystrophy(x), SpeechAbility(x)
@84 :- See(x), MovementAbility(x)
@1606 :- Kyphosis(x), SpeechAbility(x)
@85 :- See_partially(x), MovementAbility(x)
@1605 :- Guillaume_Barre(x), SpeechAbility(x)
@86 :- SightAbility(x), Reach(x)
@1604 :- Paraplegia(x), SpeechAbility(x)
@87 :- SightAbility(x), LimbMobility(x)
@1603 :- Amputation(x), SpeechAbility(x)
@88 :- TactileAbility(x), Reach(x)
